gene,GABAergic.LGN_Inh_CTXN3,GABAergic.LGN_Inh_LAMP5,GABAergic.LGN_Inh_NTRK1,GABAergic.LGN_Inh_TRPC4,Glutamatergic.LGN_Exc_BTNL9,Glutamatergic.LGN_Exc_PRKCG_BCHE,Glutamatergic.LGN_Exc_PRKCG_GRB14,Non-Neuronal.Astro_CPAMD8,Non-Neuronal.Astro_LGR6,Non-Neuronal.Micro_C1QB,Non-Neuronal.OPC_PDGFRA,Non-Neuronal.Oligo_MAG
ENSG00000154263,0.0,0.0,0.0,0.0,0.3550317542556085,0.32753745773567977,0.3087992261413442,0.0,0.0,0.0,0.0,0.0
ENSG00000144452,0.0,0.0,0.0,0.0,0.2655448605353755,0.0,0.13826129666011788,0.0,0.0,0.0,0.0,0.0
ENSG00000238098,0.09896133871898442,0.0,0.0,0.09906819129833656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000107331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06284470246734397,0.0,0.0,0.0,0.8289134757731055
ENSG00000167972,0.014281592613964224,0.0,0.0,0.0,0.08040089086859688,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000198691,0.44332943441156497,0.0,0.5560715516792897,0.0,0.0,0.0,0.0,0.0,0.0,0.011877394636015323,0.0,0.0
ENSG00000154265,0.0,0.0,0.0,0.0,0.2328507795100223,0.20062805303558967,0.039324706833805095,0.0,0.0,0.0,0.0,0.0
ENSG00000154262,0.0,0.0,0.0,0.0,0.3098060428728109,0.3001313818158968,0.09958251473477407,0.0,0.0,0.0,0.0,0.0
ENSG00000064687,0.0,0.0,0.14365434830532958,0.0,0.16152299311854956,0.0,0.05095776031434185,0.0,0.0,0.0,0.0,0.0
ENSG00000141338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8774855776974682
ENSG00000154258,0.0,0.0,0.0,0.0,0.3667130620676264,0.32027549115908144,0.2432527684056573,0.0,0.0,0.0,0.0,0.0
ENSG00000231749,0.0,0.0,0.0,0.0,0.28235466649715224,0.18136289903898645,0.2135827142093655,0.0,0.0,0.0,0.0,0.0
ENSG00000085563,0.0,0.0,0.0,0.07168850072780204,0.16281829952524818,0.0,0.11836935166994104,0.0,0.0,0.0,0.0,0.0
ENSG00000274099,0.0,0.0,0.0,0.0,0.2325205006473889,0.037717219589257514,0.0,0.0,0.0,0.16276634410067695,0.0,0.0
