gene,Astro,Endo,Ex1,Ex2,Ex3e,Ex4,Ex5b,Ex6a,Ex6b,Ex8,Ex9,In1a,In1b,In1c,In3,In4a,In4b,In6a,In6b,In7,In8,Microglia,OPC,Oligo,Per
ENSG00000010327,0.03646602658788774,0.48411853910360636,0.0,0.023048228084199308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9102817027296247,0.0,0.0,0.0
ENSG00000136011,0.0,0.0,0.5339371751976767,0.8723900667226108,0.0,0.0,0.13483156885194736,0.0,0.3772188945918826,0.0,0.0,0.0,0.05780590717299578,0.0,0.4222399629226611,0.45129308677825064,0.28879605813131437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000144681,0.0,0.8496752571775238,0.3436369089298923,0.11268762767563727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8179352932142728,0.010548523206751054,0.0,0.0,0.0,0.0
ENSG00000141750,0.0,0.0,0.0,0.1444307876244851,0.5343435919336531,0.3240382339606772,0.36203403355776376,0.0,0.057905259920024606,0.30454620853094594,0.364723089627427,0.0,0.0,0.0,0.0,0.0,0.6088189864559606,0.5476159102566301,0.7381200006590344,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000185482,0.0,0.0,0.7946644624680408,0.37173633425990393,0.0,0.09309021113243762,0.5783559518919177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18817305052797248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000118007,0.0,0.11757864421798848,0.06585425734814795,0.19936276283334559,0.0,0.0,0.21247925098882633,0.15053071727243486,0.0,0.0,0.0,0.0,0.0,0.0,0.09919294294294294,0.0,0.0,0.0,0.09556370913942629,0.0,0.0,0.18297229286218328,0.05957336108220603,0.0,0.07605211817168339
ENSG00000101972,0.0,0.1260443698968289,0.0,0.060746917953385784,0.0,0.0,0.09872002667589679,0.0,0.0,0.0,0.0,0.0,0.08420920920920921,0.0,0.0,0.0,0.0,0.0,0.014787636201912386,0.1026027913994719,0.0,0.0,0.0,0.10664042846418982,0.0
ENSG00000066923,0.025763612217795485,0.0,0.2494564168270016,0.0,0.0,0.0,0.09918080921411479,0.0,0.0,0.0,0.0,0.0,0.1989042840308663,0.0,0.20873741644309432,0.0,0.0,0.0,0.0,0.012343997529188876,0.0,0.0,0.05764384712305754,0.0269838285069575,0.0
ENSG00000205583,0.0,0.0,0.4774064192410103,0.07434052757793765,0.0,0.0,0.08004903321306318,0.0,0.0,0.0,0.0,0.0,0.28917592055456665,0.0,0.3249356652922102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000277072,0.0,0.0,0.35997032967182463,0.5109667977053339,0.0,0.0,0.3076737614446303,0.0,0.1409670685584123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03252710592160134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000174353,0.0,0.0,0.08122472559214328,0.316720494770773,0.0,0.0,0.24494001852453143,0.0,0.23542644516291233,0.06034801925212884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12472826086956522
ENSG00000106610,0.0,0.0,0.05225303292894281,0.21376049106777145,0.0,0.0,0.21512465838027872,0.0,0.0,0.14307176616887443,0.0,0.0,0.0,0.200120773072494,0.20636300131698956,0.0,0.0,0.0,0.017031168077393084,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000136738,0.0,0.0,0.0,0.23759853267024228,0.22499399258471237,0.0,0.2040088054034765,0.0,0.0,0.0,0.004300079386080974,0.0,0.0,0.0,0.0,0.0,0.14376399624358882,0.0,0.0,0.0,0.13819926523230486,0.0,0.0,0.0,0.0
ENSG00000115145,0.027158034528552456,0.01639344262295082,0.027123050259965337,0.07701262321934717,0.0,0.0,0.15916324912994356,0.0,0.0,0.002718260313399424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06109418762129067,0.058967391304347826
ENSG00000138134,0.0,0.0,0.06253610629693819,0.28821752276095597,0.2211878481167123,0.8652080879883829,0.8362374532596382,0.23415550610140298,0.6597333789979792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1085229220064027,0.0,0.0,0.0,0.0,0.0
ENSG00000178078,0.0,0.0,0.1702954688320899,0.14533770579468003,0.0,0.0,0.30347102104493545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7137508599478651,0.0,0.0,0.0,0.0,0.16898438720989106,0.0,0.0,0.0,0.03931070364172491,0.0
ENSG00000147465,0.0,0.0,0.0,0.017119637623234745,0.3840957902654957,0.0,0.0,0.04196428571428571,0.0,0.0,0.8053435683413328,0.0,0.0,0.0,0.5118728306189927,0.0,0.0,0.0,0.7681733666969536,0.0,0.7364897540367561,0.0,0.0,0.0,0.0
ENSG00000214530,0.0,0.10389778761026683,0.043847487001733104,0.12158813556336315,0.0,0.0,0.07070496808215376,0.0,0.0,0.05868196964087375,0.0017861868219105584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000133121,0.4831473968589774,0.2384298613660149,0.0,0.14697043413196703,0.0,0.0,0.25046435456510396,0.0,0.5507031375704289,0.0,0.0,0.0,0.1569069069069069,0.0,0.7014056841864129,0.0,0.0,0.0,0.1420696430137931,0.0,0.0,0.0,0.0,0.30968687304903814,0.0
ENSG00000236581,0.7604252482546593,0.0,0.0,0.0969668709476863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09983242736407293,0.0,0.8972534292563539,0.0,0.0,0.0,0.4014745055991608,0.0,0.0,0.0,0.0,0.268727339316236,0.0
ENSG00000131748,0.09208420699938996,0.0,0.2683064080263198,0.03908072494077477,0.0,0.0,0.07464307414349047,0.0,0.09594360767398777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000010270,0.0,0.029297740363314135,0.01490467937608319,0.3008839807488267,0.13538523326835358,0.0,0.23753641234906847,0.0,0.0,0.03541733290693956,0.20394673451249137,0.0,0.0,0.0,0.006569069069069069,0.0,0.04121490130664442,0.0,0.0,0.0,0.026429341963322545,0.0,0.0,0.0,0.0
ENSG00000164211,0.0,0.029574656623836952,0.1498266897746967,0.18495219235306776,0.4983739467955809,0.30001848549177157,0.5703022967908868,0.3966556535004404,0.0,0.14959832593478567,0.3189981349520826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029076086956521738
ENSG00000246859,0.0,0.0,0.84232777586326,0.7966208987522486,0.0,0.7846310261750354,0.7851088461605827,0.5064601503045957,0.0,0.24798703424847082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000172345,0.0,0.044021584777051974,0.0,0.0,0.6015518031151568,0.12511996161228406,0.7974979585831418,0.0,0.6884444547909766,0.02024584237165582,0.0,0.0,0.0,0.0,0.09530706836616454,0.0,0.054976462676529926,0.1781132075471698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000084090,0.0,0.09718864063126359,0.20651209442524823,0.09715966631841699,0.4506364730648341,0.0,0.176675941434476,0.0,0.0,0.009114166933162776,0.538559821370691,0.0,0.0,0.005149434571890145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000204685,0.0,0.0,0.10632582322357019,0.25109944406934,0.0,0.0,0.12612175039319085,0.0,0.0,0.32939235036110015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08307314897413023,0.0,0.0,0.0
ENSG00000130052,0.0,0.8603105601994534,0.0,0.0,0.0,0.024316939890710383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.560007925905543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08039254559873117,0.9651669464516366
