gene,Cerebellum-Astrocytes,Cerebellum-Granule_neurons,Cerebellum-Inhibitory_interneurons,Cerebellum-Microglia,Cerebellum-Oligodendrocytes,Cerebellum-Purkinje_neurons,Cerebellum-SLC24A4_PEX5L_positive_cells,Cerebellum-Unipolar_brush_cells,Cerebellum-Vascular_endothelial_cells
ENSG00000003147,0.0,0.0,0.0,0.2650159283478622,0.002632620744259699,0.281178992842961,0.43029432489731434,0.0,0.15117049851900485
ENSG00000003249,0.0,0.0,0.0,0.003932416267942584,0.0,0.2084420950595251,0.23856338338880223,0.0,0.0
ENSG00000003393,0.0,0.0,0.0,0.0,0.0,0.06643506262486097,0.0,0.6087532634176777,0.0
ENSG00000003400,0.0,0.0,0.0,0.05476462059453522,0.0,0.0010536398467432951,0.0,0.020923169482701263,0.8076096337442703
ENSG00000003402,0.0,0.0,0.0,0.03407949202947416,0.0,0.02747242198653427,0.0,0.0,0.39235626109579264
ENSG00000003436,0.7201080067760758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4913658897550105
ENSG00000003756,0.0,0.0,0.0,0.0,0.0,0.24088381932450217,0.09399865561320687,0.0,0.002083996181991728
ENSG00000003987,0.0,0.0,0.0,0.0,0.0,0.39759017679331987,0.2534834387655672,0.0,0.0
ENSG00000004399,0.0,0.40528314977454366,0.0,0.12919453932281838,0.0,0.0,0.0,0.0,0.564194628829452
ENSG00000004468,0.7716323611885905,0.0,0.0,0.03344623790664326,0.008130081300813009,0.0,0.0,0.0,0.0
ENSG00000004487,0.0,0.019700519963196297,0.06614455377260524,0.0,0.0,0.020767887131021335,0.0,0.0,0.0
ENSG00000004534,0.0,0.0,0.0,0.011893745957715085,0.0,0.19541379438076836,0.05059896787505984,0.0,0.0
ENSG00000004660,0.0,0.003171189253073267,0.0,0.023155786358847873,0.0,0.11444311028650538,0.03378165703096043,0.09772366196877756,0.0
ENSG00000004766,0.0,0.0,0.0,0.013397594035316323,0.0,0.32010387288849323,0.030718296021820336,0.0,0.0
ENSG00000004799,0.0,0.0,0.0,0.886528234635133,0.0,0.0,0.0,0.0,0.22155992653918127
ENSG00000004864,0.0,0.19056811295141635,0.0,0.09895356438967363,0.0,0.0,0.0,0.0,0.008275610332053528
ENSG00000004866,0.0,0.11957382595024613,0.17231128483017147,0.0,0.0,0.2453070994106432,0.10785647792599899,0.0,0.0
ENSG00000004897,0.0,0.0,0.0,0.00044019429265330906,0.0,0.2712012523441563,0.0645661015279022,0.0,0.026250901959269355
ENSG00000005020,0.0,0.0,0.0,0.4829691681593861,0.0,0.17997955738529214,0.3782963080110456,0.0,0.12409302549697543
ENSG00000005022,0.0,0.0065279091769158,0.0,0.03433445604087353,0.0,0.0,0.03968660402629263,0.0,0.4160080538175686
ENSG00000005108,0.18652949602117755,0.0,0.4918362646604386,0.0,0.0,0.11091630166275764,0.0,0.0,0.0
ENSG00000005249,0.0,0.0,0.0017935258092738405,0.0,0.0,0.37735141161925584,0.4680542837501098,0.0,0.0
ENSG00000005379,0.0,0.0,0.44911076912840414,0.0,0.019138028809806813,0.0,0.015126901490319056,0.05913657714028799,0.0
ENSG00000005436,0.011390310431944228,0.0,0.0,0.0018740680349146983,0.0021907216494845357,0.055038060270534685,0.029409202909667986,0.0,0.0
ENSG00000005471,0.0,0.2928800158642207,0.009118967452300786,0.055925156979860974,0.0,0.0,0.0,0.0,0.16291022515094417
ENSG00000005513,0.37708746372444507,0.0,0.0,0.0,0.6987972065276175,0.0,0.0,0.0,0.031838611447693045
ENSG00000005700,0.0,0.0,0.0,0.0034510745124347415,0.0,0.2834194513396777,0.09286743999375484,0.0,0.0
ENSG00000005810,0.0,0.0,0.1821300303731848,0.027205390220358172,0.0,0.2795515949543891,0.2906204853064125,0.0,0.0
ENSG00000005812,0.0,0.0,0.0,0.0,0.0,0.23772467415212226,0.03351498741588748,0.001112099644128114,0.02231103089984333
ENSG00000005844,0.0,0.0,0.0,0.7147179382119686,0.0,0.003247386406557483,0.0598421929527472,0.0,0.06107146059517954
ENSG00000005884,0.0,0.0,0.0,0.0,0.0,0.3583027675925317,0.2961974628564802,0.0,0.0
ENSG00000005893,0.15928873963989873,0.0,0.0,0.16762364686814069,0.0,0.0009800395612299948,0.0,0.0,0.08693951807440124
ENSG00000006016,0.0,0.0,0.0,0.017722261035386787,0.0,0.25006009442535954,0.0038577218698057454,0.015820420473934838,0.019870241661951726
ENSG00000006042,0.5168129427718922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0159067031674195
ENSG00000006071,0.0,0.0,0.0,0.0,0.0,0.6389226798134622,0.100010977909829,0.05074622535332456,0.0
ENSG00000006075,0.0034707158351409977,0.005357142857142857,0.0,0.9724233446832191,0.0,0.0,0.0,0.0112590799031477,0.0
ENSG00000006116,0.0,0.0,0.9643562086807237,0.0,0.0,0.0,0.0,0.00696969696969697,0.0
ENSG00000006118,0.0,0.1138388705536527,0.32068679485994916,0.0,0.0,0.0,0.010817947010980046,0.004122137404580153,0.008959993477510265
ENSG00000006125,0.0,0.0,0.0,0.0,0.0,0.3746781075909085,0.10669861988346983,0.0,0.0015908367801463568
ENSG00000006128,0.0,0.0,0.0,0.0,0.0,0.28683060136281263,0.886359896024197,0.0,0.0
ENSG00000006210,0.0,0.0,0.0,0.008384800118807031,0.04252773561769094,0.24027795878398092,0.27322734238783236,0.0,0.15600421449496502
ENSG00000006283,0.0,0.0,0.0,0.0,0.0,0.8888230108595369,0.0,0.0,0.0
ENSG00000006432,0.0,0.0,0.1971062743363863,0.0,0.0,0.22793382035661705,0.1470705032352855,0.08071739578576995,0.0
ENSG00000006451,0.0,0.0,0.0,0.0,0.0,0.28396422307403524,0.1847406394704697,0.0,0.005152540390117291
ENSG00000006453,0.0,0.0,0.0,0.005896529562982005,0.0030241935483870967,0.44296352794876886,0.05683009051518337,0.0,0.00018326865028029323
ENSG00000006468,0.39963299535614644,0.0,0.0,0.0,0.4894845336833678,0.0,0.0,0.0002864157119476268,0.02005654412192948
ENSG00000006530,0.0,0.0,0.0,0.0014125956444967628,0.0,0.16901472071056525,0.0678031597268726,0.0,0.0
ENSG00000006607,0.0,0.0,0.05214346528709368,0.0,0.4330553499460612,0.0,0.0,0.037382397579365706,0.0008853288364249579
ENSG00000006638,0.0,0.0,0.0,0.0,0.018556399724858678,0.0,0.0,0.0,0.8877612219931944
ENSG00000006652,0.0,0.0,0.0,0.18549982065758402,0.0,0.1898212749991586,0.02676432410470373,0.0,0.02558342986955133
ENSG00000006704,0.0,0.0,0.0,0.0,0.0,0.3931362099052397,0.03155222575389469,0.0,0.0
ENSG00000006715,0.0010008896797153027,0.0,0.0034612176814011676,0.0028371745677995704,0.0004879000780640125,0.053371377356623,0.06331282359177823,0.0,0.0
ENSG00000006740,0.0,0.0,0.0,0.0,0.0,0.29983853176931297,0.3886809048110134,0.25956008616419207,0.0
ENSG00000007001,0.011593815233283606,0.0,0.017492047083518925,0.0,0.0,0.0,0.002612102256087993,0.5013209949550105,0.0
ENSG00000007047,0.0,0.0,0.0,0.0,0.0,0.20939693079870017,0.054399601589453145,0.0,0.005071456927352123
